Cognac Bossard VS,261,372.86,Cognac,40.00%,700,,107
Grönstedts *** VS,300,428.57,Cognac,40.00%,700,,093
De Luze VS,301,430,Cognac,40.00%,700,,093
Braastad VS,301,430,Cognac,40.00%,700,,093
Bache Gabrielsen,301,430,Cognac,40.00%,700,,093
Meukow *****,311,444.29,Cognac,40.00%,700,,090
Larsen VS,341,487.14,Cognac,40.00%,700,,082
Grönstedts Monopol VSOP,347,495.71,Cognac,40.00%,700,,081
Grönstedts *** VS,176,502.86,Cognac,40.00%,350,,080
Braastad,348,497.14,Cognac,40.00%,700,,080
ABK6 VSOP,351,501.43,Cognac,40.00%,700,,080
Larsen VS,190,542.86,Cognac,40.00%,350,,074
Hennessy VS,381,544.29,Cognac,40.00%,700,,073
Grönstedts Monopol VSOP,196,560,Cognac,40.00%,350,,071
Martell VS***,200,571.43,Cognac,40.00%,350,,070
Le Reviseur,441,630,Cognac,40.00%,700,,063
Otard VSOP,451,644.29,Cognac,40.00%,700,,062
Bache Gabrielsen XO,471,672.86,Cognac,40.00%,700,,059
Rémy Martin VSOP,491,701.43,Cognac,40.00%,700,,057
Grönstedts XO,350,700,Cognac,40.00%,500,,057
De Luze XO,351,702,Cognac,40.00%,500,,057
Braastad XO,351,702,Cognac,40.00%,500,,057
Renault,561,801.43,Cognac,40.00%,700,,050
Godet XO Exellence,290,828.57,Cognac,40.00%,350,,048
Grönstedts Extra,431,862,Cognac,40.00%,500,,046
Delamain,741,1058.57,Cognac,40.00%,700,,038
Hennessy,1501,2144.29,Cognac,40.00%,700,,019
