Vanlig Svensk Gin,200,285.71,Gin,37.50%,700,,131
Star,201,287.14,Gin,37.50%,700,,131
Gibson's,201,287.14,Gin,37.50%,700,,131
Gibson's,100,285.71,Gin,37.50%,350,,131
Gilbey's,212,302.86,Gin,37.50%,700,,124
Star,110,314.29,Gin,37.50%,350,,119
Biostilla,226,322.86,Gin,37.50%,700,,116
Beefeater,252,360,Gin,40.00%,700,,111
Gordon's,241,344.29,Gin,37.50%,700,,109
Gilbey's,120,342.86,Gin,37.50%,350,,109
Tanqueray,281,401.43,Gin,43.10%,700,,107
Biostilla,123,351.43,Gin,37.50%,350,,107
Beefeater,142,405.71,Gin,40.00%,350,,099
Gordon's,140,400,Gin,37.50%,350,,094
Bombay Sapphire,301,430,Gin,40.00%,700,,093
Hendrick's,441,630,Gin,41.40%,700,,066
Hernö,316,632,Gin,40.50%,500,,064
Monkey 47,469,938,Gin,47.00%,500,,050
