Explorer Vodka,194,277.14,Okryddad sprit,37.50%,700,,135
Dworek Vodka,195,278.57,Okryddad sprit,37.50%,700,,135
Vanlig Vodka,199,284.29,Okryddad sprit,37.50%,700,,132
Good ol' Sailor Vodka,201,287.14,Okryddad sprit,37.50%,700,,131
Bols Vodka,201,287.14,Okryddad sprit,37.50%,700,,131
Renat,207,295.71,Okryddad sprit,37.50%,700,,127
Koskenkorva Vodka,207,295.71,Okryddad sprit,37.50%,700,,127
Kronvodka,223,318.57,Okryddad sprit,40.00%,700,,126
Explorer Vodka,104,297.14,Okryddad sprit,37.50%,350,,126
Dworek Vodka,105,300,Okryddad sprit,37.50%,350,,125
Brännvin Special,177,252.86,Okryddad sprit,30.00%,700,,119
Stolichnaya,226,322.86,Okryddad sprit,38.00%,700,,118
Smirnoff,223,318.57,Okryddad sprit,37.50%,700,,118
Renat,112,320,Okryddad sprit,37.50%,350,,117
Koskenkorva Vodka,112,320,Okryddad sprit,37.50%,350,,117
Kronvodka,121,345.71,Okryddad sprit,40.00%,350,,116
Absolut Vodka,241,344.29,Okryddad sprit,40.00%,700,,116
Vikingfjord,231,330,Okryddad sprit,37.50%,700,,114
Finlandia,237,338.57,Okryddad sprit,37.50%,700,,111
Smirnoff,121,345.71,Okryddad sprit,37.50%,350,,108
Absolut Vodka,131,374.29,Okryddad sprit,40.00%,350,,107
Brännvin Special,99,282.86,Okryddad sprit,30.00%,350,,106
Crystal Head,501,715.71,Okryddad sprit,40.00%,700,,056
