Captain Morgan,241,344.29,Rom,40.00%,700,Mörk,116
Olokun,251,358.57,Rom,40.00%,700,Ljus,112
Negrita Dark,117,334.29,Rom,37.50%,350,Mörk,112
Matusalem,251,358.57,Rom,40.00%,700,Mörk,112
Barracuda Rum,237,338.57,Rom,38.00%,700,Ljus,112
Havana Club,252,360,Rom,40.00%,700,Ljus,111
Havana Club Añejo,131,374.29,Rom,40.00%,350,Ljus,107
Cachaça 51,261,372.86,Rom,40.00%,700,Ljus,107
Barracuda Rum,126,360,Rom,38.00%,350,Ljus,106
Havana Club,251,358.57,Rom,37.50%,700,Ljus,105
Bacardi,251,358.57,Rom,37.50%,700,Ljus,105
Havana Club,271,387.14,Rom,40.00%,700,Mörk,103
Ron Barceló,261,372.86,Rom,37.50%,700,Mörk,101
Bacardi,131,374.29,Rom,37.50%,350,Ljus,100
Plantation,287,410,Rom,40.00%,700,Mörk,098
Ron Barceló,136,388.57,Rom,37.50%,350,Mörk,097
Doorly's,148,422.86,Rom,40.00%,350,Mörk,095
Appleton Estate,381,544.29,Rom,43.00%,700,Mörk,079
Diplomático,186,531.43,Rom,40.00%,350,Mörk,075
Doorly's XO,391,558.57,Rom,40.00%,700,Mörk,072
Angostura 1919,391,558.57,Rom,40.00%,700,Mörk,072
Plantation,413,590,Rom,42.00%,700,Mörk,071
Puerto Blanco,431,862,Rom,50.00%,500,Mörk,058
El Dorado,521,744.29,Rom,43.00%,700,Mörk,058
Diplomático,487,695.71,Rom,40.00%,700,Mörk,057
Ron Zacapa,501,715.71,Rom,40.00%,700,Mörk,056
Brugal,501,715.71,Rom,40.00%,700,Mörk,056
Ron Quorhum,381,762,Rom,42.00%,500,Mörk,055
Plantation,511,730,Rom,40.00%,700,Mörk,055
Diplomático,1152,1645.71,Rom,43.00%,700,Mörk,026
